Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
08:00 - 09:00,—,—,—,CVT (CR-401),CVT (CR-407) / TCS (CR-402),—
09:00 - 10:00,—,—,—,COA (CR-505),COA (CR-402),—
10:00 - 11:00,—,TCS (CR-504),—,BREAK,MPMC (CR-402),—
11:00 - 12:00,WP (CR-402),CVT (CR-504),MPMC (CR-402),COA (CR-603),BREAK,—
12:00 - 01:00,MPMC (Lab) / WP (Lab),BREAK,MPMC (CR-402),WP (LAB) / MPMC (LAB),TCS (CR-402),—
01:00 - 02:00,MPMC (Lab) / WP (Lab),DAA (CR-402),DBMS (CR-402),WP (LAB) / MPMC (LAB),DBMS (CR-402),—
02:00 - 03:00,DAA (CR-402),TCS (CR-402),BREAK,WP (CR-402),CVT (CR-401) / DBMS (Lab),—
03:00 - 04:00,BREAK,BREAK,CVT (CR-402),—,DBMS (Lab),—
04:00 - 05:00,OOPJ (Lab),DAA (LAB) / OOPJ (LAB),DAA (LAB) / DBMS (LAB),—,—,—
05:00 - 06:00,OOPJ (Lab),DAA (LAB) / OOPJ (LAB),DAA (LAB) / DBMS (LAB),—,—,—
